Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_seconds,Sector1Time_seconds,Sector2Time_seconds,Sector3Time_seconds,LapStartTime_seconds,PitInTime_seconds,PitOutTime_seconds,Sector1SessionTime_seconds,Sector2SessionTime_seconds,Sector3SessionTime_seconds
0 days 01:32:44.133000,VER,1,0 days 00:01:31.365000,23.0,1.0,,0 days 01:32:43.105000,0 days 00:00:17.903000,0 days 00:00:38.590000,0 days 00:00:34.872000,0 days 01:31:30.746000,0 days 01:32:09.336000,0 days 01:32:44.208000,287.0,299.0,,300.0,False,MEDIUM,23.0,True,Red Bull Racing,0 days 01:31:12.768000,2025-12-07 13:36:19.831,1,1.0,False,,False,False,91.365,17.903,38.59,34.872,5472.768,5563.105,,5490.746,5529.336,5564.208
0 days 01:34:33.056000,VER,1,0 days 00:01:48.923000,24.0,2.0,0 days 01:33:04.789000,,0 days 00:00:38.129000,0 days 00:00:38.518000,0 days 00:00:32.276000,0 days 01:33:22.337000,0 days 01:34:00.855000,0 days 01:34:33.131000,285.0,295.0,214.0,297.0,False,HARD,1.0,True,Red Bull Racing,0 days 01:32:44.133000,2025-12-07 13:37:51.196,1,2.0,False,,False,False,108.923,38.129,38.518,32.276,5564.133,,5584.789,5602.337,5640.855,5673.131
0 days 01:36:01.749000,VER,1,0 days 00:01:28.693000,25.0,2.0,,,0 days 00:00:17.857000,0 days 00:00:38.251000,0 days 00:00:32.585000,0 days 01:34:50.988000,0 days 01:35:29.239000,0 days 01:36:01.824000,286.0,295.0,214.0,299.0,True,HARD,2.0,True,Red Bull Racing,0 days 01:34:33.056000,2025-12-07 13:39:40.119,1,2.0,False,,False,True,88.693,17.857,38.251,32.585,5673.056,,,5690.988,5729.239,5761.824
0 days 01:37:30.061000,VER,1,0 days 00:01:28.312000,26.0,2.0,,,0 days 00:00:17.846000,0 days 00:00:38.185000,0 days 00:00:32.281000,0 days 01:36:19.670000,0 days 01:36:57.855000,0 days 01:37:30.136000,287.0,298.0,212.0,301.0,True,HARD,3.0,True,Red Bull Racing,0 days 01:36:01.749000,2025-12-07 13:41:08.812,1,2.0,False,,False,True,88.312,17.846,38.185,32.281,5761.749,,,5779.67,5817.855,5850.136
0 days 01:38:58.388000,VER,1,0 days 00:01:28.327000,27.0,2.0,,,0 days 00:00:17.789000,0 days 00:00:38.265000,0 days 00:00:32.273000,0 days 01:37:47.925000,0 days 01:38:26.190000,0 days 01:38:58.463000,286.0,298.0,214.0,301.0,False,HARD,4.0,True,Red Bull Racing,0 days 01:37:30.061000,2025-12-07 13:42:37.124,1,2.0,False,,False,True,88.327,17.789,38.265,32.273,5850.061,,,5867.925,5906.19,5938.463
0 days 01:40:26.759000,VER,1,0 days 00:01:28.371000,28.0,2.0,,,0 days 00:00:17.801000,0 days 00:00:38.338000,0 days 00:00:32.232000,0 days 01:39:16.264000,0 days 01:39:54.602000,0 days 01:40:26.834000,287.0,299.0,214.0,302.0,False,HARD,5.0,True,Red Bull Racing,0 days 01:38:58.388000,2025-12-07 13:44:05.451,1,2.0,False,,False,True,88.371,17.801,38.338,32.232,5938.388,,,5956.264,5994.602,6026.834
0 days 01:41:54.762000,VER,1,0 days 00:01:28.003000,29.0,2.0,,,0 days 00:00:17.794000,0 days 00:00:38.125000,0 days 00:00:32.084000,0 days 01:40:44.628000,0 days 01:41:22.753000,0 days 01:41:54.837000,284.0,298.0,214.0,303.0,True,HARD,6.0,True,Red Bull Racing,0 days 01:40:26.759000,2025-12-07 13:45:33.822,1,2.0,False,,False,True,88.003,17.794,38.125,32.084,6026.759,,,6044.628,6082.753,6114.837
0 days 01:43:22.811000,VER,1,0 days 00:01:28.049000,30.0,2.0,,,0 days 00:00:17.754000,0 days 00:00:38.208000,0 days 00:00:32.087000,0 days 01:42:12.591000,0 days 01:42:50.799000,0 days 01:43:22.886000,286.0,296.0,214.0,302.0,False,HARD,7.0,True,Red Bull Racing,0 days 01:41:54.762000,2025-12-07 13:47:01.825,1,2.0,False,,False,True,88.049,17.754,38.208,32.087,6114.762,,,6132.591,6170.799,6202.886
0 days 01:44:50.655000,VER,1,0 days 00:01:27.844000,31.0,2.0,,,0 days 00:00:17.675000,0 days 00:00:38.108000,0 days 00:00:32.061000,0 days 01:43:40.561000,0 days 01:44:18.669000,0 days 01:44:50.730000,287.0,299.0,215.0,302.0,True,HARD,8.0,True,Red Bull Racing,0 days 01:43:22.811000,2025-12-07 13:48:29.874,1,2.0,False,,False,True,87.844,17.675,38.108,32.061,6202.811,,,6220.561,6258.669,6290.73
0 days 01:46:18.456000,VER,1,0 days 00:01:27.801000,32.0,2.0,,,0 days 00:00:17.606000,0 days 00:00:38.134000,0 days 00:00:32.061000,0 days 01:45:08.336000,0 days 01:45:46.470000,0 days 01:46:18.531000,284.0,297.0,214.0,303.0,True,HARD,9.0,True,Red Bull Racing,0 days 01:44:50.655000,2025-12-07 13:49:57.718,1,2.0,False,,False,True,87.801,17.606,38.134,32.061,6290.655,,,6308.336,6346.47,6378.531
